location,airport,iata,latitude,longitude,region
Algiers,Houari Boumediene Airport,ALG,36.693886,3.214531,Africa
Annaba,Rabah Bitat Airport,AAE,36.826781,7.81334,Africa
Batna,Batna Airport,BLJ,35.752102,6.30859,Africa
Béjaïa,Soummam Airport,BJA,36.712547,5.069909,Africa
Chlef,Chlef International Airport,CFK,36.216614,1.341114,Africa
Constantine,Mohamed Boudiaf International Airport,CZL,36.276001,6.62039,Africa
Ghardaïa,Noumérat – Moufdi Zakaria Airport,GHA,32.384102,3.79411,Africa
Jijel,Jijel Ferhat Abbas Airport,GJL,36.794125,5.873652,Africa
Oran,Oran Es Senia Airport,ORN,35.620648,-0.622486,Africa
Oumache,Biskra Airport,BSK,34.79318,5.738899,Africa
Sétif,Ain Arnat Airport,QSF,36.178488,5.329909,Africa
Tlemcen,Zenata – Messali El Hadj Airport,TLM,35.012732,-1.457117,Africa
Alexandria,Alexandria International Airport,HBE,30.93249,29.696437,Africa
Asyut,Assiut Airport,ATZ,27.045962,31.01276,Africa
Aswan,Aswan International Airport,ASW,23.961075,32.820382,Africa
Cairo,Cairo International Airport,CAI,30.111534,31.396694,Africa
El Arish,El Arish International Airport,AAC,31.055324,33.827964,Africa
El Dabaa,El Alamein International Airport,DBB,30.924324,28.46161,Africa
Hurghada,Hurghada International Airport,HRG,27.176776,33.796692,Africa
Luxor,Luxor International Airport,LXR,25.671018,32.706446,Africa
Marsa Alam,Marsa Alam International Airport,RMF,25.555548,34.59245,Africa
Mersa Matruh,Mersa Matruh International Airport,MUH,31.324313,27.22227,Africa
Saint Catherine,St. Catherine International Airport,SKV,28.684292,34.064409,Africa
Sharm El Sheikh,Sharm El Sheikh International Airport,SSH,27.977272,34.394717,Africa
Sohag,Sohag International Airport,HMB,26.342515,31.743017,Africa
Taba,Taba International Airport,TCP,29.594496,34.775752,Africa
Benghazi,Benina International Airport,BEN,32.096802,20.269501,Africa
Sabha,Sabha Airport,SEB,26.992452,14.466162,Africa
Tripoli,Tripoli International Airport,TIP,,,Africa
Tajoura,Mitiga International Airport,MJI,32.89177,13.287878,Africa
Agadir,Agadir–Al Massira Airport,AGA,30.322478,-9.412003,Africa
Beni Mellal,Beni Mellal Airport,BEM,32.401895,-6.315905,Africa
Casablanca,Mohammed V International Airport,CMN,33.3675,-7.58997,Africa
Essaouira,Essaouira-Mogador Airport,ESU,31.397499,-9.68167,Africa
Fes,Fès–Saïs Airport,FEZ,33.927299,-4.97796,Africa
Marrakesh,Marrakesh Menara Airport,RAK,31.604807,-8.035788,Africa
Nador,Nador International Airport,NDR,34.9888,-3.02821,Africa
Ouarzazate,Ouarzazate Airport,OZZ,30.9391,-6.90943,Africa
Oujda,Angads Airport,OUD,34.789558,-1.926041,Africa
Rabat,Rabat–Salé Airport,RBA,34.051498,-6.75152,Africa
Tangier,Tangier Ibn Battouta Airport,TNG,35.731741,-5.921459,Africa
Tetouan,Sania Ramel Airport,TTU,35.594299,-5.32002,Africa
Dakhla,Dakhla Airport,VIL,23.7183,-15.932,Africa
Laayoune,Hassan I Airport,EUN,27.142467,-13.224947,Africa
Khartoum,Khartoum International Airport,KRT,15.5895,32.5532,Africa
Port Sudan,Port Sudan New International Airport,PZU,19.434558,37.234125,Africa
Djerba,Djerba–Zarzis International Airport,DJE,33.873719,10.7773,Africa
Enfidha,Enfidha–Hammamet International Airport,NBE,36.075833,10.438611,Africa
Monastir,Monastir Habib Bourguiba International Airport,MIR,35.75809860229492,10.75469970703125,Africa
Sfax,Sfax–Thyna International Airport,SFA,34.717999,10.691,Africa
Tabarka,Tabarka–Aïn Draham International Airport,TBJ,36.98,8.87694,Africa
Tozeur,Tozeur–Nefta International Airport,TOE,33.939701080322266,8.110560417175293,Africa
Tunis,Tunis–Carthage International Airport,TUN,36.851002,10.2272,Africa
Cotonou,Cadjehoun Airport,COO,6.35723,2.38435,Africa
Bobo-Dioulasso,Bobo Dioulasso Airport,BOY,11.1601,-4.33097,Africa
Ouagadougou,Thomas Sankara International Airport Ouagadougou,OUA,12.3532,-1.51242,Africa
Boa Vista,Aristides Pereira International Airport,BVC,16.136499,-22.888901,Africa
Sal Island,Amílcar Cabral International Airport,SID,16.7414,-22.9494,Africa
"Praia, Santiago Island",Nelson Mandela International Airport,RAI,14.941126,-23.484728,Africa
São Vicente,Cesária Évora Airport,VXE,16.833363,-25.055308,Africa
Banjul,Banjul International Airport,BJL,13.338,-16.652201,Africa
Accra,Accra International Airport,ACC,5.605189800262451,-0.16678600013256073,Africa
Kumasi,Prempeh I International Airport,KMS,6.71456,-1.59082,Africa
Takoradi,Takoradi Airport,TKD,4.896059989929199,-1.7747600078582764,Africa
Sunyani,Sunyani Airport,NYI,7.36183,-2.32876,Africa
Ho,Ho Airport,HZO,,,Africa
Wa,Wa Airport,WZA,10.0827,-2.50769,Africa
Tamale,Tamale Airport,TML,9.553909,-0.86606,Africa
Conakry,Conakry International Airport,CKY,9.57689,-13.612,Africa
Bissau,Osvaldo Vieira International Airport,OXB,11.894262,-15.653596,Africa
Abidjan,Félix-Houphouët-Boigny International Airport,ABJ,5.26139,-3.92629,Africa
Monrovia,Roberts International Airport,ROB,6.23379,-10.3623,Africa
Bamako,Modibo Keita International Airport,BKO,12.5335,-7.94994,Africa
Nouakchott,Nouakchott–Oumtounsy International Airport,NKC,18.31,-15.969722,Africa
Nouadhibou,Nouadhibou International Airport,NDB,20.932404,-17.030199,Africa
Atar,Atar International Airport,ATR,20.505823,-13.043744,Africa
Niamey,Diori Hamani International Airport,NIM,13.4815,2.18361,Africa
Abuja,Nnamdi Azikiwe International Airport,ABV,9.00679,7.26317,Africa
Calabar,Margaret Ekpo International Airport,CBQ,4.976019859313965,8.347200393676758,Africa
"Asaba, Delta",Asaba International Airport,ABB,6.204167,6.665278,Africa
Kano,Mallam Aminu Kano International Airport,KAN,12.045613,8.523566,Africa
Lagos,Murtala Muhammed International Airport,LOS,6.57737,3.32116,Africa
Port Harcourt,Port Harcourt International Airport,PHC,5.01549,6.94959,Africa
Enugu,Akanu Ibiam International Airport,ENU,6.473718,7.560463,Africa
Sokoto,Sadiq Abubakar III International Airport,SKO,12.915729,5.207547,Africa
Saint Helena,Saint Helena Airport,HLE,-15.958898,-5.646066,Africa
Dakar,Blaise Diagne International Airport,DSS,14.670878,-17.072829,Africa
Freetown,Freetown International Airport,FNA,8.61644,-13.1955,Africa
Lomé,Lomé–Tokoin International Airport,LFW,6.16561,1.25451,Africa
Catumbela,Catumbela Airport,CBT,-12.4792,13.4869,Africa
Luanda,Quatro de Fevereiro Airport,LAD,-8.85837,13.2312,Africa
Lubango,Lubango Airport,SDD,-14.924839,13.576653,Africa
Douala,Douala International Airport,DLA,4.00608,9.71948,Africa
Yaoundé,Yaoundé Nsimalen International Airport,NSI,3.72256,11.5533,Africa
Bangui,Bangui M'Poko International Airport,BGF,4.39848,18.518801,Africa
N'Djamena,N'Djamena International Airport,NDJ,12.1337,15.034,Africa
Goma,Goma International Airport,GOM,-1.666758,29.238037,Africa
Kinshasa,N'djili Airport,FIH,-4.38575,15.4446,Africa
Kisangani,Kisangani Bangoka International Airport,FKI,0.481639,25.337999,Africa
Lubumbashi,Lubumbashi International Airport,FBM,-11.591494,27.530753,Africa
Malabo,Malabo International Airport,SSG,3.75527,8.70872,Africa
Franceville,M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,-1.65616,13.438,Africa
Libreville,Léon-Mba International Airport,LBV,0.458951,9.41214,Africa
Port-Gentil,Port-Gentil International Airport,POG,-0.711739,8.75438,Africa
Brazzaville,Maya-Maya Airport,BZV,-4.2517,15.253,Africa
Pointe-Noire,Agostinho-Neto International Airport,PNR,-4.81603,11.8866,Africa
São Tomé,São Tomé International Airport,TMS,0.378175,6.71215,Africa
Gaborone,Sir Seretse Khama International Airport,GBE,-24.555201,25.9182,Africa
Maun,Maun Airport,MUB,-19.970491,23.431409,Africa
Francistown,Francistown International Airport,FRW,-21.159183,27.468826,Africa
Kasane,Kasane Airport,BBK,-17.831653,25.166195,Africa
Manzini,King Mswati III International Airport,SHO,-26.358611,31.716944,Africa
Maseru,Moshoeshoe I International Airport,MSU,-29.456277,27.554456,Africa
Windhoek,Hosea Kutako International Airport,WDH,-22.4799,17.4709,Africa
Walvis Bay,Walvis Bay Airport,WVB,-22.979332,14.647102,Africa
Bloemfontein,Bram Fischer International Airport,BFN,-29.092699,26.302401,Africa
Cape Town,Cape Town International Airport,CPT,-33.97403,18.604333,Africa
Durban,King Shaka International Airport,DUR,-29.6144444444,31.1197222222,Africa
East London,East London Airport,ELS,-33.035599,27.825899,Africa
Johannesburg,O. R. Tambo International Airport,JNB,-26.140081,28.246801,Africa
Nelspruit,Kruger Mpumalanga International Airport,MQP,-25.383327,31.105325,Africa
Polokwane,Polokwane International Airport,PTG,-23.845269,29.458615,Africa
Bujumbura,Melchior Ndadaye International Airport,BJM,-3.32402,29.318501,Africa
Moroni,Prince Said Ibrahim International Airport,HAH,-11.5337,43.2719,Africa
Djibouti,Djibouti–Ambouli International Airport,JIB,11.5473,43.1595,Africa
Asmara,Asmara International Airport,ASM,15.2919,38.910702,Africa
Addis Ababa,Addis Ababa Bole International Airport,ADD,8.97789,38.799301,Africa
Dire Dawa,Dire Dawa Airport,DIR,9.623549,41.855027,Africa
Eldoret,Eldoret International Airport,EDL,0.404458,35.238899,Africa
Mombasa,Moi International Airport,MBA,-4.03483,39.5942,Africa
Kisumu,Kisumu International Airport,KIS,-0.086139,34.728901,Africa
Nairobi,Jomo Kenyatta International Airport,NBO,-1.318886,36.928233,Africa
Antananarivo,Ivato International Airport,TNR,-18.7969,47.478802,Africa
Antsiranana,Arrachart Airport,DIE,-12.3494,49.291698,Africa
Mahajanga,Amborovy Airport,MJN,-15.666842,46.351233,Africa
Nosy Be,Fascene Airport,NOS,-13.3121,48.3148,Africa
Toamasina,Toamasina Airport,TMM,-18.113537,49.392262,Africa
Tôlanaro,Tôlanaro Airport,FTU,-25.038099,46.9561,Africa
Toliara,Toliara Airport,TLE,-23.3834,43.7285,Africa
Blantyre,Chileka International Airport,BLZ,-15.677189,34.972319,Africa
Lilongwe,Lilongwe International Airport,LLW,-13.7894,33.780998,Africa
Plaine Magnien,Sir Seewoosagur Ramgoolam International Airport,MRU,-20.430201,57.683601,Africa
Dzaoudzi,Dzaoudzi–Pamandzi International Airport,DZA,-12.809319,45.281815,Africa
Maputo,Maputo International Airport,MPM,-25.920799,32.572601,Africa
Beira,Beira Airport,BEW,-19.7964,34.9076,Africa
Inhambane,Inhambane Airport,INH,-23.8764,35.408501,Africa
Nampula,Nampula Airport,APL,-15.1056,39.281799,Africa
Pemba,Pemba Airport,POL,-12.993302,40.524867,Africa
Tete,Chingozi Airport,TET,-16.104799,33.640202,Africa
Vilankulo,Vilankulo Airport,VNX,-22.018400192260742,35.31330108642578,Africa
Saint-Denis,Roland Garros Airport,RUN,-20.890087,55.518894,Africa
Kigali,Kigali International Airport,KGL,-1.96863,30.1395,Africa
Victoria,Seychelles International Airport,SEZ,-4.67434,55.521801,Africa
Bosaso,Bosaso Airport,BSA,11.275235,49.139231,Africa
Galkayo,Abdullahi Yusuf Airport,GLK,6.78082990646,47.45470047,Africa
Garowe,Garowe Airport,GGR,8.458474,48.568136,Africa
Hargeisa,Hargeisa Airport,HGA,9.514082,44.083469,Africa
Kismayo,Kismayo Airport,KMU,-0.377353,42.459202,Africa
Mogadishu,Aden Adde International Airport,MGQ,2.01444,45.304699,Africa
Juba,Juba International Airport,JUB,4.87201,31.601101,Africa
Malakal,Malakal Airport,MAK,9.558739,31.651937,Africa
Arusha,Arusha Airport,ARK,-3.3677899837493896,36.63330078125,Africa
Dar es Salaam,Julius Nyerere International Airport,DAR,-6.873499,39.207288,Africa
Hai District,Kilimanjaro International Airport,JRO,-3.427049,37.07353,Africa
