airline_code,source_airport_code,destination_airport_code,codeshare,stops,equipment,distance_km
UA,ABQ,DEN,Y,0,"CR7 DH4 CRJ E70",562.0
UA,ABQ,IAH,,0,"320 738",1196.0
UA,ABQ,LAX,Y,0,CRJ,1088.0
UA,ABQ,ORD,Y,0,"CR7 E70",1796.0
UA,ABQ,SFO,Y,0,CRJ,1439.0
UA,ALB,CLE,Y,0,DH3,680.0
UA,ALB,EWR,Y,0,"DH4 ERJ DH2",231.0
UA,ALB,IAD,Y,0,"DH4 DH2 CR7 CRJ ERJ",523.0
UA,ALB,ORD,,0,"319 73G 738 739",1161.0
UA,ANC,DEN,,0,738,3863.0
UA,ANC,ORD,,0,738,4568.0
UA,ANC,SEA,,0,"739 738",2326.0
UA,ATL,CLE,Y,0,ERJ,894.0
UA,ATL,DEN,Y,0,CR7,1927.0
UA,ATL,EWR,Y,0,ERJ,1199.0
UA,ATL,IAD,Y,0,"ERJ CRJ E70",859.0
UA,ATL,IAH,Y,0,"ERJ CR7 CRJ E70",1108.0
UA,ATL,LGA,,0,738,1225.0
UA,ATL,ORD,Y,0,"CR7 ERJ E70",976.0
UA,ATL,SFO,,0,738,3435.0
UA,AUS,CLE,Y,0,CR7,1889.0
UA,AUS,DEN,,0,"320 738 739",1249.0
UA,AUS,EWR,,0,"738 73G",2416.0
UA,AUS,IAD,Y,0,"CR7 E70",2084.0
UA,AUS,IAH,,0,"320 319 73G 738 739",225.0
UA,AUS,LAX,Y,0,CR7,1995.0
UA,AUS,ORD,,0,"739 320 752",1574.0
UA,AUS,SFO,,0,"738 319 320 739",2417.0
UA,BDL,IAD,,0,"738 319 320",523.0
UA,BDL,ORD,,0,"738 73G 319",1257.0
UA,BHM,DEN,Y,0,ERJ,1740.0
UA,BHM,IAH,Y,0,"ERJ CRJ",904.0
UA,BHM,ORD,Y,0,"ERJ CRJ",941.0
UA,BNA,CLE,Y,0,ERJ,721.0
UA,BNA,DEN,Y,0,ERJ,1628.0
UA,BNA,EWR,Y,0,ERJ,1201.0
UA,BNA,IAD,Y,0,"ERJ CRJ",871.0
UA,BNA,IAH,Y,0,ERJ,1057.0
UA,BNA,ORD,Y,0,"ERJ CRJ",659.0
UA,BOI,DEN,,0,"320 319 738 739",1042.0
UA,BOI,LAX,Y,0,CR7,1086.0
UA,BOI,ORD,Y,0,CR7,2307.0
UA,BOI,SFO,Y,0,"CRJ CR7",840.0
UA,BOS,CLE,,0,738,903.0
UA,BOS,DEN,,0,"739 320 738",2816.0
UA,BOS,EWR,,0,"73G 738 319 320 739 753 752",322.0
UA,BOS,IAD,,0,"320 319 739 738 752 73G",663.0
UA,BOS,IAH,,0,"739 738 320 73G 319",2567.0
UA,BOS,LAX,,0,752,4193.0
UA,BOS,ORD,,0,"739 752 738 73G 319 320 753",1391.0
UA,BOS,SFO,,0,"752 753 739 738 73G",4341.0
UA,BUF,CLE,,0,DH3,308.0
UA,BUF,EWR,Y,0,"DH3 DH4 ERJ DH2",453.0
UA,BUF,IAD,Y,0,"DH4 CR7 DH2 ERJ CRJ",457.0
UA,BUF,ORD,,0,"739 738 320",760.0
UA,BUR,DEN,Y,0,CRJ,1366.0
UA,BUR,SFO,Y,0,"CR7 CRJ",525.0
UA,BWI,CLE,Y,0,"ERJ DH3",505.0
UA,BWI,DEN,,0,"739 320 738",2394.0
UA,BWI,EWR,Y,0,"DH3 ERJ DH2",271.0
UA,BWI,IAH,,0,"320 73G 739 319 738",1986.0
UA,BWI,LAX,,0,"319 738",3740.0
UA,BWI,ORD,,0,"73G 738 320 739 319",998.0
UA,BWI,SFO,,0,"738 739 319",3944.0
UA,CHS,CLE,Y,0,ERJ,960.0
UA,CHS,EWR,Y,0,ERJ,1011.0
UA,CHS,IAD,Y,0,CRJ,712.0
UA,CHS,IAH,Y,0,"ERJ CRJ",1486.0
UA,CHS,ORD,Y,0,"ERJ CRJ CR7",1224.0
UA,CLE,ALB,Y,0,DH3,680.0
UA,CLE,ATL,Y,0,ERJ,894.0
UA,CLE,AUS,Y,0,CR7,1889.0
UA,CLE,BNA,Y,0,ERJ,721.0
UA,CLE,BOS,,0,"73G 319",903.0
UA,CLE,BUF,Y,0,"DH3 DH2",308.0
UA,CLE,BWI,,0,DH3,505.0
UA,CLE,CHS,Y,0,ERJ,960.0
UA,CLE,CLT,Y,0,ERJ,694.0
UA,CLE,CMH,Y,0,"DH2 ERJ E70",180.0
UA,CLE,DCA,Y,0,"ERJ E70",498.0
UA,CLE,DEN,,0,"73G 319 320 739",1928.0
UA,CLE,DFW,Y,0,"ERJ CRJ",1642.0
UA,CLE,EWR,,0,"738 320 73G 319",649.0
UA,CLE,FLL,,0,"320 73G 738",1713.0
UA,CLE,GRR,Y,0,"ERJ CRJ",344.0
UA,CLE,IAD,,0,DH4,463.0
UA,CLE,IAH,,0,"319 73G 320 738",1756.0
UA,CLE,IND,Y,0,"DH3 ERJ E70",420.0
UA,CLE,LAS,,0,"739 320 738",2929.0
UA,CLE,LAX,,0,"738 739 320 319",3296.0
UA,CLE,LGA,Y,0,"ERJ E70",672.0
UA,CLE,MCI,Y,0,"DH4 ERJ",1114.0
UA,CLE,MCO,,0,"738 320 73G 739",1444.0
UA,CLE,MKE,Y,0,"ERJ CR7",527.0
UA,CLE,MSP,Y,0,ERJ,999.0
UA,CLE,MSY,Y,0,ERJ,1478.0
UA,CLE,ORD,,0,"73G 319 738 320",507.0
UA,CLE,PBI,Y,0,ERJ,1646.0
UA,CLE,PHX,,0,"738 320",2790.0
UA,CLE,RIC,Y,0,"ERJ ER4",583.0
UA,CLE,ROC,Y,0,"DH2 DH3",393.0
UA,CLE,RSW,,0,"319 738 320",1654.0
UA,CLE,SDF,Y,0,ERJ,490.0
UA,CLE,SFO,,0,"739 738 319",3470.0
UA,CLE,STL,Y,0,"ER4 ERJ",783.0
UA,CLE,SYR,Y,0,"DH3 DH2 ERJ",509.0
UA,CLE,TPA,,0,"73G 320",1495.0
UA,CLT,CLE,Y,0,ERJ,694.0
UA,CLT,EWR,Y,0,"ERJ E70",850.0
UA,CLT,IAD,Y,0,"ERJ CR7",517.0
UA,CLT,IAH,Y,0,"ERJ E70",1467.0
UA,CLT,ORD,,0,"320 319",965.0
UA,CMH,CLE,Y,0,"DH2 ERJ",180.0
UA,CMH,DEN,Y,0,"E70 CR7",1853.0
UA,CMH,EWR,Y,0,"DH4 ERJ E70",743.0
UA,CMH,IAD,Y,0,"E70 DH4 ERJ CR7 CRJ",481.0
UA,CMH,IAH,Y,0,"E70 ERJ CR7",1586.0
