flight_number,airline_code,source_airport_code,destination_airport_code,codeshare,stops,equipment,distance_km
UA0005,UA,ABQ,DEN,Y,0,CR7 DH4 CRJ E70,562.4869406389843
UA0006,UA,ABQ,IAH,,0,320 738,1195.6727490526955
UA0007,UA,ABQ,LAX,Y,0,CRJ,1087.578466128454
UA0008,UA,ABQ,ORD,Y,0,CR7 E70,1795.9233072145933
UA0009,UA,ABQ,SFO,Y,0,CRJ,1439.3133270396975
UA0023,UA,ALB,CLE,Y,0,DH3,680.3442270454065
UA0024,UA,ALB,EWR,Y,0,DH4 ERJ DH2,230.97613636412436
UA0025,UA,ALB,IAD,Y,0,DH4 DH2 CR7 CRJ ERJ,522.7286321956456
UA0026,UA,ALB,ORD,,0,319 73G 738 739,1160.512875020777
UA0035,UA,ANC,DEN,,0,738,3863.129816959807
UA0036,UA,ANC,ORD,,0,738,4568.179156888665
UA0037,UA,ANC,SEA,,0,739 738,2325.752433399854
UA0045,UA,ATL,CLE,Y,0,ERJ,893.8160701204932
UA0046,UA,ATL,DEN,Y,0,CR7,1926.6364333901013
UA0047,UA,ATL,EWR,Y,0,ERJ,1198.9828342501
UA0049,UA,ATL,IAD,Y,0,ERJ CRJ E70,859.0311580773126
UA0050,UA,ATL,IAH,Y,0,ERJ CR7 CRJ E70,1107.5625525131195
UA0051,UA,ATL,LGA,,0,738,1224.8675522038163
UA0052,UA,ATL,ORD,Y,0,CR7 ERJ E70,976.3278291656198
UA0053,UA,ATL,SFO,,0,738,3434.6956769682733
UA0060,UA,AUS,CLE,Y,0,CR7,1888.6929648389525
UA0062,UA,AUS,DEN,,0,320 738 739,1248.7717662505524
UA0063,UA,AUS,EWR,,0,738 73G,2415.825906874884
UA0064,UA,AUS,IAD,Y,0,CR7 E70,2083.544804452949
UA0065,UA,AUS,IAH,,0,320 319 73G 738 739,224.51485931247524
UA0066,UA,AUS,LAX,Y,0,CR7,1994.9693050806532
UA0067,UA,AUS,ORD,,0,739 320 752,1573.8842146593047
UA0068,UA,AUS,SFO,,0,738 319 320 739,2416.5450836253376
UA0076,UA,BDL,IAD,,0,738 319 320,522.9527475229282
UA0077,UA,BDL,ORD,,0,738 73G 319,1256.5899052413283
UA0088,UA,BHM,DEN,Y,0,ERJ,1740.255090487731
UA0089,UA,BHM,IAH,Y,0,ERJ CRJ,903.8843152000214
UA0090,UA,BHM,ORD,Y,0,ERJ CRJ,941.240076242445
UA0103,UA,BNA,CLE,Y,0,ERJ,721.4329992636121
UA0104,UA,BNA,DEN,Y,0,ERJ,1627.6219138906
UA0105,UA,BNA,EWR,Y,0,ERJ,1200.740605389905
UA0106,UA,BNA,IAD,Y,0,ERJ CRJ,871.0403534980763
UA0107,UA,BNA,IAH,Y,0,ERJ,1056.5248532561302
UA0108,UA,BNA,ORD,Y,0,ERJ CRJ,659.4850977173753
UA0114,UA,BOI,DEN,,0,320 319 738 739,1042.2257326166248
UA0115,UA,BOI,LAX,Y,0,CR7,1086.4389890319922
UA0116,UA,BOI,ORD,Y,0,CR7,2306.969040121241
UA0117,UA,BOI,SFO,Y,0,CRJ CR7,840.158818309456
UA0121,UA,BOS,CLE,,0,738,903.0703307496769
UA0122,UA,BOS,DEN,,0,739 320 738,2815.6554962526347
UA0124,UA,BOS,EWR,,0,73G 738 319 320 739 753 752,322.306684550895
UA0126,UA,BOS,IAD,,0,320 319 739 738 752 73G,663.2230421411614
UA0127,UA,BOS,IAH,,0,739 738 320 73G 319,2567.336393732915
UA0128,UA,BOS,LAX,,0,752,4192.822347674352
UA0130,UA,BOS,ORD,,0,739 752 738 73G 319 320 753,1390.8751257562583
UA0132,UA,BOS,SFO,,0,752 753 739 738 73G,4341.022084519025
UA0164,UA,BUF,CLE,,0,DH3,308.0220153706699
UA0165,UA,BUF,EWR,Y,0,DH3 DH4 ERJ DH2,453.2934494699704
UA0166,UA,BUF,IAD,Y,0,DH4 CR7 DH2 ERJ CRJ,457.0685041555564
UA0167,UA,BUF,ORD,,0,739 738 320,759.6396279814746
UA0168,UA,BUR,DEN,Y,0,CRJ,1365.8123030522593
UA0169,UA,BUR,SFO,Y,0,CR7 CRJ,524.505466011444
UA0170,UA,BWI,CLE,Y,0,ERJ DH3,504.80270603334793
UA0171,UA,BWI,DEN,,0,739 320 738,2393.637021710443
UA0172,UA,BWI,EWR,Y,0,DH3 ERJ DH2,271.45228977134536
UA0173,UA,BWI,IAH,,0,320 73G 739 319 738,1985.7894383962312
UA0174,UA,BWI,LAX,,0,319 738,3739.9133237212877
UA0175,UA,BWI,ORD,,0,73G 738 320 739 319,997.9705182564419
UA0176,UA,BWI,SFO,,0,738 739 319,3944.311114550975
UA0195,UA,CHS,CLE,Y,0,ERJ,960.332934700755
UA0196,UA,CHS,EWR,Y,0,ERJ,1011.2951738239889
UA0197,UA,CHS,IAD,Y,0,CRJ,711.5183457493314
UA0198,UA,CHS,IAH,Y,0,ERJ CRJ,1486.0044862671336
UA0199,UA,CHS,ORD,Y,0,ERJ CRJ CR7,1224.4482039025177
