name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
A Coruña Airport,ES,ES-GA,EU,Culleredo,LCG,LECO,43.302101,-8.37726,326.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/A_Coru%C3%B1a_Airport
A.N.R. Robinson International Airport,TT,TT-TOB,NA,Scarborough,TAB,TTCP,11.149571,-60.831298,38.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/A.N.R._Robinson_International_Airport
Aalborg Airport,DK,DK-81,EU,Aalborg,AAL,EKYT,57.094763,9.84993,10.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Aalborg_Airport
Aappilattoq Heliport,GL,GL-KU,NA,Aappilattoq,QUV,,60.148357,-44.286916,30.0,yes,heliport,no,https://en.wikipedia.org/wiki/Aappilattoq_Heliport_(Kujalleq)
Aappilattoq Heliport,GL,GL-AV,NA,Aappilattoq,AOQ,,72.88703,-55.596287,42.0,yes,heliport,no,https://en.wikipedia.org/wiki/Aappilattoq_Heliport_(Avannaata)
Aarhus Airport,DK,DK-82,EU,Aarhus,AAR,EKAH,56.303331,10.618286,82.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Aarhus_Airport
Aasiaat Airport,GL,GL-QK,NA,Aasiaat,JEG,BGAA,68.721802,-52.784698,74.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Aasiaat_Airport
Aba Tenna Dejazmach Yilma International Airport,ET,ET-DD,AF,Dire Dawa,DIR,HADR,9.623549,41.855027,3827.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Aba_Tenna_Dejazmach_Yilma_International_Airport
Abadan Ayatollah Jami International Airport,IR,IR-06,AS,Abadan,ABD,OIAA,30.367887,48.230075,10.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Abadan_Airport
Abakan International Airport,RU,RU-KK,AS,Abakan,ABA,UNAA,53.740002,91.385002,831.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Abakan_International_Airport
Abbotsford International Airport,CA,CA-BC,NA,Abbotsford,YXX,CYXX,49.025299,-122.361,195.0,yes,medium_airport,yes,https://en.wikipedia.org/wiki/Abbotsford_International_Airport
Abdelhafid Boussouf Bou Chekif Airport,DZ,DZ-14,AF,Tiaret,TID,DAOB,35.341099,1.46315,3245.0,no,medium_airport,no,https://en.wikipedia.org/wiki/Bou_Chekif_Airport
