flight_number,airline_code,source_airport_code,destination_airport_code,codeshare,stops,equipment,distance_km
AH0001,AH,AAE,ALG,,0,738 ATR 736,409.90415235996136
AH0002,AH,AAE,CDG,,0,738,1419.786403678601
AH0003,AH,AAE,IST,,0,738,1867.7072188134807
AH0004,AH,AAE,LYS,,0,738,1015.2057954607279
AH0005,AH,AAE,MRS,,0,738,767.5626839521269
ZI0001,ZI,AAE,MRS,,0,319,767.5626839521269
AH0006,AH,AAE,ORN,,0,ATR,768.2381984478818
AH0007,AH,AAE,ORY,,0,736,1395.4430815448966
ZI0002,ZI,AAE,ORY,,0,319,1395.4430815448966
BA0001,BA,AAL,AAR,Y,0,FRJ,99.72284643556559
DY0001,DY,AAL,AGP,,0,73H,2507.0549524145076
DY0002,DY,AAL,ALC,,0,73H,2226.3303481047633
AZ0001,AZ,AAL,AMS,Y,0,E90,624.1346912281077
KL0001,KL,AAL,AMS,Y,0,EMJ F70,624.1346912281077
SK0001,SK,AAL,ARN,,0,S20,549.5166318765511
IB0001,IB,AAL,BCN,Y,0,320,1842.3123996511877
VY0001,VY,AAL,BCN,,0,320,1842.3123996511877
DX0001,DX,AAL,BLL,,0,SF3,156.51726778508336
SK0002,SK,AAL,BLL,,0,319,156.51726778508336
TK0001,TK,AAL,BLL,,0,319,156.51726778508336
DY0003,DY,AAL,CPH,,0,73H AT7,238.39946035049866
SK0003,SK,AAL,CPH,,0,320 319 CR2 CR9 321,238.39946035049866
TK0002,TK,AAL,IST,,0,319 738,2215.324123816032
DY0004,DY,AAL,LGW,,0,73H,928.1990025918088
BA0002,BA,AAL,OSL,Y,0,J31 FRJ,352.10523118085104
M30001,M3,AAL,OSL,,0,SWM,352.10523118085104
SK0004,SK,AAL,OSL,,0,73H 73G,352.10523118085104
DY0005,DY,AAL,PMI,,0,73H,2017.6884640402266
DX0002,DX,AAL,SVG,,0,SF3,317.5669840135512
IX0001,IX,AAN,CCJ,,0,738,2596.9634762411943
NL0001,NL,AAN,PEW,,0,734,1882.327388938365
S70001,S7,AAQ,DME,,0,320,1157.8454377222888
SU0001,SU,AAQ,LED,,0,320 319,1711.9137181400406
SU0002,SU,AAQ,SVO,,0,320 319,1220.3454246640601
BA0003,BA,AAR,AAL,Y,0,FRJ,99.72284643556559
FR0001,FR,AAR,AGP,,0,738,2458.0260635899735
BA0004,BA,AAR,BMA,Y,0,FRJ,550.0307453787796
SK0005,SK,AAR,CPH,,0,AT7 320 CR2,147.96254882511295
BA0005,BA,AAR,GOT,Y,0,FRJ,181.6068608907696
BA0006,BA,AAR,OSL,Y,0,FRJ,433.5273631990923
FR0002,FR,AAR,PMI,,0,738,1949.9871524348234
FR0003,FR,AAR,STN,,0,738,835.1584229315121
CZ0001,CZ,AAT,URC,,0,73G E90,429.1530374887723
GS0001,GS,AAT,URC,,0,E90,429.1530374887723
AD0001,AD,AAX,POJ,,0,AT4,110.60906065457856
FO0001,FO,AAY,SAH,,0,CR7,854.603420366105
S70002,S7,ABA,DME,,0,320,3366.2805746079275
IOS0001,IOS,ABA,IKT,,0,AN4,884.5405266036076
Y70001,Y7,ABA,NSK,,0,738,1743.4780600268089
SU0003,SU,ABA,SVO,,0,320,3374.89067813635
W30001,W3,ABB,ABV,,0,73G,318.5270790817471
W30002,W3,ABB,LOS,,0,73G,371.8596966942774
B90001,B9,ABD,MHD,,0,M82,1243.8751533574643
IR0001,IR,ABD,MHD,,0,100 M82,1243.8751533574643
EP0001,EP,ABD,SYZ,,0,100,429.98466548556706
B90002,B9,ABD,THR,,0,M82,657.7585683797156
EP0002,EP,ABD,THR,,0,100,657.7585683797156
IR0002,IR,ABD,THR,,0,M82 100,657.7585683797156
AF0001,AF,ABE,ATL,Y,0,CRJ,1113.6020718649456
DL0001,DL,ABE,ATL,,0,717,1113.6020718649456
KL0002,KL,ABE,ATL,Y,0,CRJ,1113.6020718649456
AA0001,AA,ABE,CLT,Y,0,CR9 CR7 CRJ,773.1408145447942
US0001,US,ABE,CLT,Y,0,CR9 CR7 CRJ,773.1408145447942
DL0002,DL,ABE,DTW,Y,0,CRJ,681.7105141853426
G40001,G4,ABE,MYR,,0,M80,834.3167025976164
UA0001,UA,ABE,ORD,Y,0,ER4 ERJ,1050.2338841090525
G40002,G4,ABE,PGD,,0,M80,1641.123768939803
AA0002,AA,ABE,PHL,,0,DH3,88.39073424846367
US0002,US,ABE,PHL,Y,0,CRJ DH8,88.39073424846367
G40003,G4,ABE,PIE,,0,M80 320,1563.9061589885182
G40004,G4,ABE,SFB,,0,320 M80,1421.9780031555144
AA0003,AA,ABI,DFW,Y,0,ERD ER4 CRJ,253.332312018744
US0003,US,ABI,DFW,,0,ERD ER4,253.332312018744
E20001,E2,ABJ,ACC,,0,M82,417.9104486847405
EK0001,EK,ABJ,ACC,,0,77W,417.9104486847405
HF0001,HF,ABJ,ACC,,0,E70 319,417.9104486847405
ME0001,ME,ABJ,ACC,,0,332,417.9104486847405
MS0001,MS,ABJ,ACC,,0,738,417.9104486847405
S90001,S9,ABJ,ACC,,0,143,417.9104486847405
SA0001,SA,ABJ,ACC,,0,332,417.9104486847405
AH0008,AH,ABJ,ALG,,0,738,3570.0754890268886
HF0002,HF,ABJ,BKO,,0,319,921.3968719975284
L60001,L6,ABJ,BKO,,0,73G,921.3968719975284
2J0001,2J,ABJ,BOY,,0,CRJ,657.4155409479293
AC0001,AC,ABJ,BRU,,1,333,5134.84936879667
LH0001,LH,ABJ,BRU,Y,0,332,5134.84936879667
SN0001,SN,ABJ,BRU,,0,332 333,5134.84936879667
UA0002,UA,ABJ,BRU,Y,0,332,5134.84936879667
AF0002,AF,ABJ,CDG,,0,772,4902.840032420237
AZ0002,AZ,ABJ,CDG,Y,0,772,4902.840032420237
ET0001,ET,ABJ,CKY,,0,DH8,1170.5756315327014
HF0003,HF,ABJ,CKY,,0,E70,1170.5756315327014
AT0001,AT,ABJ,CMN,,0,738 73G,3148.164374373599
DN0001,DN,ABJ,COO,,0,320,708.6475706336352
ET0002,ET,ABJ,COO,,0,73W 752,708.6475706336352
L60002,L6,ABJ,COO,,0,73G,708.6475706336352
DN0002,DN,ABJ,DKR,,0,320,1818.8418908000106
HF0004,HF,ABJ,DKR,,0,319,1818.8418908000106
KQ0001,KQ,ABJ,DKR,,0,73W 738,1818.8418908000106
HF0005,HF,ABJ,DLA,,0,319,1518.7545868781713
E20002,E2,ABJ,FNA,,0,M82,1088.873885817581
TK0003,TK,ABJ,IST,,0,739,5151.160604482377
HF0006,HF,ABJ,LBV,,0,319,1574.2129192383547
ET0003,ET,ABJ,LFW,,0,DH8,581.9600360685523
HF0007,HF,ABJ,LFW,,0,E70 319,581.9600360685523
LH0002,LH,ABJ,LFW,Y,0,333,581.9600360685523
SN0002,SN,ABJ,LFW,,0,333,581.9600360685523
UA0003,UA,ABJ,LFW,Y,0,333,581.9600360685523
ET0004,ET,ABJ,LOS,Y,0,DH8,814.8061799569106
ME0002,ME,ABJ,LOS,,0,332,814.8061799569106
QC0001,QC,ABJ,LOS,,0,737,814.8061799569106
W30003,W3,ABJ,LOS,,0,CR9,814.8061799569106
KQ0002,KQ,ABJ,NBO,,0,73W 738,4596.096567232981
SS0001,SS,ABJ,ORY,,0,333,4869.886361267796
2J0002,2J,ABJ,OUA,,0,E70 CRJ M87,831.9292693861468
AC0002,AC,ABJ,OUA,Y,0,332,831.9292693861468
ET0005,ET,ABJ,OUA,,0,752,831.9292693861468
HF0008,HF,ABJ,OUA,,0,E70,831.9292693861468
LH0003,LH,ABJ,OUA,Y,0,333,831.9292693861468
SN0003,SN,ABJ,OUA,,0,333,831.9292693861468
UA0004,UA,ABJ,OUA,Y,0,333,831.9292693861468
E20003,E2,ABJ,ROB,,0,M82,720.2041806365875
TU0001,TU,ABJ,TUN,,0,320,3796.59375926821
7H0001,7H,ABL,OTZ,Y,0,CNC,207.54631707537416
8E0001,8E,ABL,OTZ,,0,CNC,207.54631707537416
