name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Albany International Airport,US,US-NY,NA,Albany,ALB,KALB,42.748299,-73.801697,285.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Albany_International_Airport
Albuquerque International Sunport,US,US-NM,NA,Albuquerque,ABQ,KABQ,35.039976,-106.608925,5355.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport
Austin Bergstrom International Airport,US,US-TX,NA,Austin,AUS,KAUS,30.197535,-97.662015,542.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Austin-Bergstrom_International_Airport
Baltimore/Washington International Thurgood Marshall Airport,US,US-MD,NA,Baltimore,BWI,KBWI,39.1754,-76.668297,146.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Baltimore/Washington_International_Airport
Birmingham-Shuttlesworth International Airport,US,US-AL,NA,Birmingham,BHM,KBHM,33.562877,-86.750712,650.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Birmingham_International_Airport_(US)
Boise Air Terminal/Gowen Field,US,US-ID,NA,Boise,BOI,KBOI,43.5644,-116.223,2871.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Boise_Airport
Boston Logan International Airport,US,US-MA,NA,Boston,BOS,KBOS,42.36197,-71.0079,20.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Logan_International_Airport
Bradley International Airport,US,US-CT,NA,Hartford,BDL,KBDL,41.938555,-72.688016,173.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Bradley_International_Airport
Buffalo Niagara International Airport,US,US-NY,NA,Buffalo,BUF,KBUF,42.940498,-78.732201,728.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Buffalo_Niagara_International_Airport
Charleston International Airport,US,US-SC,NA,Charleston,CHS,KCHS,32.896159,-80.038151,46.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Charleston_International_Airport
Charlotte Douglas International Airport,US,US-NC,NA,Charlotte,CLT,KCLT,35.2140007019043,-80.94309997558594,748.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Charlotte/Douglas_International_Airport
Chicago Midway International Airport,US,US-IL,NA,Chicago,MDW,KMDW,41.785999,-87.752403,620.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Midway_International_Airport
Chicago O'Hare International Airport,US,US-IL,NA,Chicago,ORD,KORD,41.9786,-87.9048,680.0,yes,large_airport,no,https://en.wikipedia.org/wiki/O'Hare_International_Airport
Cincinnati Northern Kentucky International Airport,US,US-KY,NA,Cincinnati / Covington,CVG,KCVG,39.048801,-84.667801,896.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Cincinnati/Northern_Kentucky_International_Airport
City of Colorado Springs Municipal Airport,US,US-CO,NA,Colorado Springs,COS,KCOS,38.805801,-104.700996,6187.0,yes,large_airport,no,https://en.wikipedia.org/wiki/Colorado_Springs_Airport
