flight_number,airline_code,source_airport_code,destination_airport_code,codeshare,stops,equipment,distance_km
AF0003,AF,ABQ,ATL,Y,0,757 320,2038.327239981967
AZ0003,AZ,ABQ,ATL,Y,0,757,2038.327239981967
DL0003,DL,ABQ,ATL,,0,757 320,2038.327239981967
KL0003,KL,ABQ,ATL,Y,0,757 320,2038.327239981967
VS0001,VS,ABQ,ATL,Y,0,757 320,2038.327239981967
WN0001,WN,ABQ,BWI,,0,73W,2682.0457815491864
WN0002,WN,ABQ,DAL,,0,73W 73C 733 735,932.4951436719399
FL0001,FL,ABQ,DEN,Y,0,73W,562.4869406389843
UA0005,UA,ABQ,DEN,Y,0,CR7 DH4 CRJ E70,562.4869406389843
WN0003,WN,ABQ,DEN,,0,73W 73C,562.4869406389843
AA0004,AA,ABQ,DFW,,0,M83 M80,913.8005959287797
US0004,US,ABQ,DFW,,0,M83 M80,913.8005959287797
WN0004,WN,ABQ,HOU,,0,73W 735 73C,1220.7679966040043
UA0006,UA,ABQ,IAH,,0,320 738,1195.6727490526955
B60001,B6,ABQ,JFK,,0,320,2931.4088082810044
FL0002,FL,ABQ,LAS,Y,0,73W,781.1498492733336
WN0005,WN,ABQ,LAS,,0,73C 73W 733,781.1498492733336
AA0005,AA,ABQ,LAX,Y,0,CR7 CRJ,1087.578466128454
AS0001,AS,ABQ,LAX,Y,0,CR7 CRJ,1087.578466128454
UA0007,UA,ABQ,LAX,Y,0,CRJ,1087.578466128454
US0005,US,ABQ,LAX,Y,0,CR7 CRJ,1087.578466128454
WN0006,WN,ABQ,LAX,,0,73C 73W,1087.578466128454
FL0003,FL,ABQ,MCI,Y,0,73W,1154.3485627191249
WN0007,WN,ABQ,MCI,,0,73W 73C,1154.3485627191249
FL0004,FL,ABQ,MDW,Y,0,73W,1800.9397175282606
WN0008,WN,ABQ,MDW,,0,73W,1800.9397175282606
DL0004,DL,ABQ,MSP,,0,320,1576.9146965557495
WN0009,WN,ABQ,OAK,,0,73W 733 73C,1427.2540463353284
AA0006,AA,ABQ,ORD,Y,0,E75,1795.9233072145933
UA0008,UA,ABQ,ORD,Y,0,CR7 E70,1795.9233072145933
US0006,US,ABQ,ORD,,0,E75,1795.9233072145933
FL0005,FL,ABQ,PDX,Y,0,73W,1786.6783717758115
WN0010,WN,ABQ,PDX,,0,73W,1786.6783717758115
AA0007,AA,ABQ,PHX,Y,0,CRJ CR9,527.143267559793
