name,iso_country,iso_region,continent,municipality,iata_code,icao_code,latitude_deg,longitude_deg,elevation_ft,scheduled_service,type,is_international,wikipedia_link
Aberdeen Regional Airport,US,US-SD,NA,Aberdeen,ABR,KABR,45.449100494384766,-98.42179870605467,1302.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport
Abilene Regional Airport,US,US-TX,NA,Abilene,ABI,KABI,32.4113006592,-99.6819000244,1791.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Abilene_Regional_Airport
Abraham Lincoln Capital Airport,US,US-IL,NA,Springfield,SPI,KSPI,39.844101,-89.677902,598.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Abraham_Lincoln_Capital_Airport
Adak Airport,US,US-AK,NA,Adak,ADK,PADK,51.883564,-176.642783,18.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Adak_Airport
Adirondack Regional Airport,US,US-NY,NA,Saranac Lake,SLK,KSLK,44.38691,-74.204629,1663.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Adirondack_Regional_Airport
Akron Canton Regional Airport,US,US-OH,NA,Akron,CAK,KCAK,40.91609954833984,-81.44219970703125,1228.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Akron-Canton_Regional_Airport
Albany International Airport,US,US-NY,NA,Albany,ALB,KALB,42.748299,-73.801697,285.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Albany_International_Airport
Albert J Ellis Airport,US,US-NC,NA,Richlands,OAJ,KOAJ,34.829201,-77.612099,94.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Albert_J._Ellis_Airport
Albuquerque International Sunport,US,US-NM,NA,Albuquerque,ABQ,KABQ,35.039976,-106.608925,5355.0,yes,large_airport,yes,https://en.wikipedia.org/wiki/Albuquerque_International_Sunport
Alexandria International Airport,US,US-LA,NA,Alexandria,AEX,KAEX,31.325828,-92.546702,89.0,yes,medium_airport,no,https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana)
