flight_number,airline_code,source_airport_code,destination_airport_code,codeshare,stops,equipment,distance_km
AF0001,AF,ABE,ATL,Y,0,CRJ,1113.6020718649456
DL0001,DL,ABE,ATL,,0,717,1113.6020718649456
KL0002,KL,ABE,ATL,Y,0,CRJ,1113.6020718649456
AA0001,AA,ABE,CLT,Y,0,CR9 CR7 CRJ,773.1408145447942
US0001,US,ABE,CLT,Y,0,CR9 CR7 CRJ,773.1408145447942
DL0002,DL,ABE,DTW,Y,0,CRJ,681.7105141853426
G40001,G4,ABE,MYR,,0,M80,834.3167025976164
UA0001,UA,ABE,ORD,Y,0,ER4 ERJ,1050.2338841090525
G40002,G4,ABE,PGD,,0,M80,1641.123768939803
AA0002,AA,ABE,PHL,,0,DH3,88.39073424846367
US0002,US,ABE,PHL,Y,0,CRJ DH8,88.39073424846367
G40003,G4,ABE,PIE,,0,M80 320,1563.9061589885182
G40004,G4,ABE,SFB,,0,320 M80,1421.9780031555144
AA0003,AA,ABI,DFW,Y,0,ERD ER4 CRJ,253.332312018744
US0003,US,ABI,DFW,,0,ERD ER4,253.332312018744
7H0001,7H,ABL,OTZ,Y,0,CNC,207.54631707537416
8E0001,8E,ABL,OTZ,,0,CNC,207.54631707537416
AF0003,AF,ABQ,ATL,Y,0,757 320,2038.327239981967
AZ0003,AZ,ABQ,ATL,Y,0,757,2038.327239981967
DL0003,DL,ABQ,ATL,,0,757 320,2038.327239981967
KL0003,KL,ABQ,ATL,Y,0,757 320,2038.327239981967
VS0001,VS,ABQ,ATL,Y,0,757 320,2038.327239981967
WN0001,WN,ABQ,BWI,,0,73W,2682.0457815491864
LW0001,LW,ABQ,CNM,,0,CNC,370.65947203102627
WN0002,WN,ABQ,DAL,,0,73W 73C 733 735,932.4951436719399
FL0001,FL,ABQ,DEN,Y,0,73W,562.4869406389843
UA0005,UA,ABQ,DEN,Y,0,CR7 DH4 CRJ E70,562.4869406389843
WN0003,WN,ABQ,DEN,,0,73W 73C,562.4869406389843
AA0004,AA,ABQ,DFW,,0,M83 M80,913.8005959287797
US0004,US,ABQ,DFW,,0,M83 M80,913.8005959287797
WN0004,WN,ABQ,HOU,,0,73W 735 73C,1220.7679966040043
UA0006,UA,ABQ,IAH,,0,320 738,1195.6727490526955
B60001,B6,ABQ,JFK,,0,320,2931.4088082810044
FL0002,FL,ABQ,LAS,Y,0,73W,781.1498492733336
WN0005,WN,ABQ,LAS,,0,73C 73W 733,781.1498492733336
AA0005,AA,ABQ,LAX,Y,0,CR7 CRJ,1087.578466128454
AS0001,AS,ABQ,LAX,Y,0,CR7 CRJ,1087.578466128454
UA0007,UA,ABQ,LAX,Y,0,CRJ,1087.578466128454
US0005,US,ABQ,LAX,Y,0,CR7 CRJ,1087.578466128454
WN0006,WN,ABQ,LAX,,0,73C 73W,1087.578466128454
FL0003,FL,ABQ,MCI,Y,0,73W,1154.3485627191249
WN0007,WN,ABQ,MCI,,0,73W 73C,1154.3485627191249
FL0004,FL,ABQ,MDW,Y,0,73W,1800.9397175282606
WN0008,WN,ABQ,MDW,,0,73W,1800.9397175282606
DL0004,DL,ABQ,MSP,,0,320,1576.9146965557495
WN0009,WN,ABQ,OAK,,0,73W 733 73C,1427.2540463353284
AA0006,AA,ABQ,ORD,Y,0,E75,1795.9233072145933
UA0008,UA,ABQ,ORD,Y,0,CR7 E70,1795.9233072145933
US0006,US,ABQ,ORD,,0,E75,1795.9233072145933
FL0005,FL,ABQ,PDX,Y,0,73W,1786.6783717758115
WN0010,WN,ABQ,PDX,,0,73W,1786.6783717758115
AA0007,AA,ABQ,PHX,Y,0,CRJ CR9,527.143267559793
US0007,US,ABQ,PHX,Y,0,CRJ CR9,527.143267559793
WN0011,WN,ABQ,PHX,,0,73W 733 73C,527.143267559793
WN0012,WN,ABQ,SAN,,0,73C 733 73W,1009.2518750311486
WN0013,WN,ABQ,SEA,,0,73W,1897.340412718944
UA0009,UA,ABQ,SFO,Y,0,CRJ,1439.3133270396975
DL0005,DL,ABQ,SLC,Y,0,CR9 CR7,793.7546301538473
DL0006,DL,ABR,MSP,Y,0,CRJ,412.49149017116264
AF0006,AF,ABY,ATL,Y,0,CRJ,234.93325102974137
AM0001,AM,ABY,ATL,Y,0,CRJ,234.93325102974137
DL0009,DL,ABY,ATL,Y,0,CRJ,234.93325102974137
KL0006,KL,ABY,ATL,Y,0,CRJ,234.93325102974137
9K0001,9K,ACK,BOS,,0,CNA,146.19216482519442
9K0002,9K,ACK,EWB,,0,CNA,88.28909701185394
TJ0001,TJ,ACK,HPN,,0,PL2,306.0225519299834
9K0003,9K,ACK,HYA,Y,0,CNA,49.784040717466
TJ0002,TJ,ACK,TEB,,0,PL2,338.4148467768888
AA0010,AA,ACT,DFW,Y,0,ER4 ERD,144.08276263270793
US0008,US,ACT,DFW,,0,ER4,144.08276263270793
UA0011,UA,ACV,CEC,Y,0,EM2,89.68020521533806
UA0012,UA,ACV,SFO,Y,0,EM2,402.11220930093634
UA0013,UA,ACV,SMF,Y,0,EM2,332.60812190177194
NK0001,NK,ACY,BOS,,0,319,440.80295221283296
NK0002,NK,ACY,DTW,,0,319,798.9845070184933
NK0003,NK,ACY,FLL,,0,320 319,1575.95062408184
UA0014,UA,ACY,IAH,Y,0,ERJ,2162.7979988266657
NK0004,NK,ACY,MCO,,0,320,1373.3236646929747
NK0005,NK,ACY,MYR,,0,320,750.4534344632149
NK0006,NK,ACY,ORD,,0,319,1156.3637412859557
UA0015,UA,ACY,ORD,Y,0,ERJ,1156.3637412859557
NK0007,NK,ACY,RSW,,0,319,1583.5794069492222
