State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
ALABAMA,Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,"1,596,510"
ALABAMA,Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"39,339"
ALABAMA,Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"804,665"
ALABAMA,Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,"314,406"
ALABAMA,Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"193,746"
ALASKA,Anchorage,MRI,MRI,PAMR,Merrill Field,P-N,"32,601"
ALASKA,Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,767,856"
ALASKA,Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"165,846"
ALASKA,Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,"18,641"
ALASKA,Deadhorse,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,"96,967"
ALASKA,Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,"34,656"
ALASKA,Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,"574,012"
ALASKA,Gustavus,GST,GST,PAGS,Gustavus Airport,P-N,"10,074"
ALASKA,Homer,HOM,HOM,PAHO,Homer Airport,P-N,"27,482"
ALASKA,Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,"436,457"
ALASKA,Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,"75,395"
ALASKA,Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,"152,082"
ALASKA,King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,"39,289"
ALASKA,Klawock,AKW,KLW,PAKW,Klawock Airport (also see Klawock Seaplane Base),P-N,"16,224"
ALASKA,Kodiak,ADQ,ADQ,PADQ,Kodiak Airport (Benny Benson State Airport),P-N,"86,579"
ALASKA,Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,"60,547"
ALASKA,Nome,OME,OME,PAOM,Nome Airport,P-N,"69,593"
ALASKA,Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,"25,209"
ALASKA,Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,"98,066"
ALASKA,Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),P-N,"22,712"
ALASKA,Utqiaġvik (Barrow),BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,"43,364"
ALASKA,Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,"14,560"
ALASKA,Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,"11,923"
ARIZONA,Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,"79,081"
ARIZONA,Mesa,IWA,AZA,KIWA,Mesa Gateway Airport (formerly Williams AFB),P-S,"978,296"
ARIZONA,Page,PGA[dead link],PGA,KPGA,Page Municipal Airport,P-N,"22,400"
ARIZONA,Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"25,595,723"
ARIZONA,Prescott,PRC,PRC,KPRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,"25,316"
ARIZONA,Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,"1,959,789"
ARIZONA,Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,"85,227"
ARKANSAS,Fayetteville,XNA,XNA,KXNA,Northwest Arkansas National Airport,P-S,"1,123,106"
ARKANSAS,Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,"59,250"
ARKANSAS,Little Rock,LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),P-S,"1,145,693"
ARKANSAS,Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,"36,307"
CALIFORNIA,Arcata/Eureka,ACV,ACV,KACV,California Redwood Coast–Humboldt County Airport,P-N,"133,682"
CALIFORNIA,Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,"195,148"
CALIFORNIA,Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport,P-M,"3,383,237"
CALIFORNIA,Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,"1,318,250"
CALIFORNIA,Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,"2,031,810"
CALIFORNIA,Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"37,760,834"
CALIFORNIA,Monterey,MRY,MRY,KMRY,Monterey Regional Airport,P-N,"305,434"
CALIFORNIA,Oakland,OAK,OAK,KOAK,Oakland San Francisco Bay Airport,P-M,"5,292,736"
CALIFORNIA,Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,"3,494,554"
CALIFORNIA,Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,"1,617,586"
CALIFORNIA,Redding,RDD,RDD,KRDD,Redding Regional Airport,P-N,"88,676"
CALIFORNIA,Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,"6,679,426"
CALIFORNIA,San Diego,SAN,SAN,KSAN,San Diego International Airport,P-L,"12,780,013"
CALIFORNIA,San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,"25,078,968"
CALIFORNIA,San Jose,SJC,SJC,KSJC,San Jose International Airport,P-M,"5,822,019"
CALIFORNIA,San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,"366,428"
CALIFORNIA,Santa Ana,SNA,SNA,KSNA,John Wayne Airport,P-M,"5,370,273"
CALIFORNIA,Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-S,"696,396"
CALIFORNIA,Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,"13,525"
CALIFORNIA,Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,"382,556"
CALIFORNIA,Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,"63,668"
COLORADO,Alamosa,ALS,ALS,KALS,San Luis Valley Regional Airport (Bergman Field),P-N,"12,232"
COLORADO,Aspen,ASE,ASE,KASE,Aspen/Pitkin County Airport (Sardy Field),P-N,"349,781"
COLORADO,Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,"1,248,261"
COLORADO,Denver,DEN,DEN,KDEN,Denver International Airport,P-L,"40,012,895"
COLORADO,Durango,DRO,DRO,KDRO,Durango–La Plata County Airport,P-N,"250,640"
COLORADO,Eagle/Vail,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,"282,849"
COLORADO,Grand Junction,GJT,GJT,KGJT,Grand Junction Regional Airport (Walker Field),P-N,"270,935"
COLORADO,Gunnison,GUC,GUC,KGUC,Gunnison–Crested Butte Regional Airport,P-N,"58,804"
COLORADO,Hayden,HDN,HDN,KHDN,Yampa Valley Airport (Yampa Valley Regional),P-N,"226,830"
COLORADO,Montrose,MTJ,MTJ,KMTJ,Montrose Regional Airport,P-N,"264,973"
CONNECTICUT,Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,"3,285,194"
CONNECTICUT,New Haven,HVN,HVN,KHVN,Tweed-New Haven Airport,P-S,"589,409"
DELAWARE,Wilmington,ILG,ILG,KILG,Wilmington Airport,P-N,"125,071"
FLORIDA,Daytona Beach,DAB,DAB,KDAB,Daytona Beach International Airport,P-N,"337,763"
FLORIDA,Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,"17,096,131"
FLORIDA,Fort Lauderdale,FXE,FXE,KFXE,Fort Lauderdale Executive Airport,P-N,"10,493"
FLORIDA,Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,"5,425,293"
FLORIDA,Fort Walton Beach,VPS,VPS,KVPS,Destin–Fort Walton Beach Airport / Eglin Air Force Base,P-S,"1,164,880"
FLORIDA,Gainesville,GNV,GNV,KGNV,Gainesville Regional Airport,P-N,"290,563"
FLORIDA,Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,"3,749,791"
FLORIDA,Key West,EYW,EYW,KEYW,Key West International Airport,P-S,"740,762"
FLORIDA,Melbourne,MLB,MLB,KMLB,Melbourne Orlando International Airport,P-N,"348,283"
FLORIDA,Miami,MIA,MIA,KMIA,Miami International Airport,P-L,"26,588,002"
FLORIDA,Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,"27,859,783"
FLORIDA,Panama City,ECP,ECP,KECP,Northwest Florida Beaches International Airport,P-S,"918,470"
FLORIDA,Pensacola,PNS,PNS,KPNS,Pensacola International Airport,P-S,"1,528,204"
FLORIDA,Punta Gorda,PGD,PGD,KPGD,Punta Gorda Airport,P-S,"957,136"
FLORIDA,Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,"1,412,954"
FLORIDA,Sarasota,SRQ,SRQ,KSRQ,Sarasota–Bradenton International Airport,P-S,"2,112,417"
FLORIDA,St. Petersburg,PIE,PIE,KPIE,St. Pete–Clearwater International Airport,P-S,"1,228,048"
FLORIDA,Tallahassee,TLH,TLH,KTLH,Tallahassee International Airport,P-N,"469,318"
FLORIDA,Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,"12,075,591"
FLORIDA,Vero Beach,VRB,VRB,KVRB,Vero Beach Regional Airport,P-N,"88,608"
FLORIDA,West Palm Beach,PBI,PBI,KPBI,President Donald J. Trump International Airport,P-M,"4,127,211"
GEORGIA,Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport,P-N,"30,295"
GEORGIA,Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,"52,511,402"
GEORGIA,Augusta,AGS,AGS,KAGS,Augusta Regional Airport (Bush Field),P-N,"299,141"
GEORGIA,Brunswick,BQK,BQK,KBQK,Brunswick Golden Isles Airport,P-N,"42,771"
GEORGIA,Columbus,CSG,CSG,KCSG,Columbus Airport,P-N,"63,422"
GEORGIA,Macon,MCN,MCN,KMCN,Middle Georgia Regional Airport,P-N,"17,020"
GEORGIA,Savannah,SAV,SAV,KSAV,Savannah/Hilton Head International Airport,P-S,"2,020,753"
